"","id","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_ssp1","1",8.87697152846271,11.8967883504248,12.416479614743,12.3897461960131
"marketable_yield_ssp11","10",10.6615625055671,12.8580975104855,13.3941762523607,13.3324810039559
"marketable_yield_ssp12","100",11.1008366478419,13.1699792125021,13.507847501407,13.5164572322827
"marketable_yield_ssp13","101",10.4193815845062,12.5938966104476,12.7592033342338,12.5436354670184
"marketable_yield_ssp14","102",10.1698855881645,12.5858801568299,12.5698784717111,12.3892321019185
"marketable_yield_ssp15","103",11.6425031304052,14.0791408975612,14.5534024400655,14.2455276654782
"marketable_yield_ssp16","104",12.0870712417957,15.2309850036288,15.7411205726004,15.847740786614
"marketable_yield_ssp17","105",11.963679461001,15.0598942618557,15.497102376497,15.774497352837
"marketable_yield_ssp18","106",11.9264415402417,14.4964219373788,14.8848271223001,14.967156512586
"marketable_yield_ssp19","107",11.1598902723885,14.1457171605967,14.3611336895963,14.6397131654818
"marketable_yield_ssp110","108",10.8801386784307,13.7502783834757,13.9301409383993,13.4473779768081
"marketable_yield_ssp111","109",9.55757021435449,11.3795625203232,11.0441504872324,10.645459991471
"marketable_yield_ssp112","11",10.6140579671294,13.375062232223,13.7277540549635,14.0016508241656
"marketable_yield_ssp113","110",8.7774435549942,10.2404744762144,10.646658391283,10.4417501093558
"marketable_yield_ssp114","111",9.1311367265751,11.7144601628517,11.5449474782151,11.3794040843465
"marketable_yield_ssp115","112",9.29354829339239,11.1028753524969,11.0163817752061,10.7342364067865
"marketable_yield_ssp116","113",9.86097286882543,12.7292942945576,12.7065281820799,12.8065522591096
"marketable_yield_ssp117","114",11.4371051340925,14.1759669280571,14.6257234807061,14.6029308628233
"marketable_yield_ssp118","115",11.9199814894349,14.6063769409347,15.4744585870956,15.5845206747833
"marketable_yield_ssp119","116",11.5893022931739,14.6515293263916,15.4031497478106,15.4481987270063
"marketable_yield_ssp120","117",12.1129611899111,15.5915269588453,16.4238567026251,16.7804340005536
"marketable_yield_ssp121","118",11.8289413109592,14.9008570317431,16.2247590742865,16.6861858933305
"marketable_yield_ssp122","119",12.807367317542,15.7565091055936,17.078140954683,17.2457289460537
"marketable_yield_ssp123","12",9.89740407114887,12.4172676981499,12.5827234683729,12.7491361708152
"marketable_yield_ssp124","120",12.4175004348573,15.4219037783435,16.7949019765448,17.5711251375979
"marketable_yield_ssp125","121",13.7903323921176,17.4634176203412,19.4844191904462,19.8323200013779
"marketable_yield_ssp126","122",13.798177108465,18.0383943317554,20.1016168418786,20.7782015592698
"marketable_yield_ssp127","123",13.0566144145112,16.9667571955195,19.3408823159579,19.9954535791395
"marketable_yield_ssp128","124",12.5757833991908,16.1892088177337,17.9517604610768,18.8132237202616
"marketable_yield_ssp129","125",12.1904778517293,14.9984488079229,16.8816955021693,16.9778915246327
"marketable_yield_ssp130","126",10.134671465774,12.352268251298,11.5971422703934,11.2989986545682
"marketable_yield_ssp131","127",10.6660906077833,13.207811152949,12.989000745976,12.7478082508589
"marketable_yield_ssp132","128",9.72867409253647,12.0199940425564,11.519068451268,10.8822787055912
"marketable_yield_ssp133","129",10.6293994562832,12.7195095474471,12.5469169580836,12.1448378050944
"marketable_yield_ssp134","13",9.41218635676792,12.1606866326418,12.3397339832223,12.3744896268394
"marketable_yield_ssp135","130",10.2628314969235,12.4693341011293,12.070578077382,12.084744183946
"marketable_yield_ssp136","131",9.31144599170638,11.3927572035409,11.1125682809042,10.7609086833997
"marketable_yield_ssp137","132",9.98550156176447,12.1541546112962,12.070639495852,11.2069843633786
"marketable_yield_ssp138","133",10.4690446113971,13.1590475207024,12.742523749434,12.6260912225609
"marketable_yield_ssp139","134",10.2689657019402,12.6695424870603,12.5544954276055,12.3686807824333
"marketable_yield_ssp140","135",10.2804677484857,12.1535016339052,12.1360655670497,11.8058399643974
"marketable_yield_ssp141","136",10.3695075829079,12.1128211631872,12.1830978031363,12.043677093122
