"","id","today","ssp1","ssp2","ssp3","ssp5"
"marketable_yield_today","1",60.2703265607021,69.1472980891648,72.1671149111269,72.6868061754451,72.6600727567152
"marketable_yield_today1","10",58.7265568083589,69.388119313926,71.5846543188443,72.1207330607196,72.0590378123148
"marketable_yield_today2","100",60.5372560734471,71.638092721289,73.7072352859492,74.0451035748542,74.0537133057298
"marketable_yield_today3","101",60.6571581305274,71.0765397150337,73.251054740975,73.4163614647612,73.2007935975458
"marketable_yield_today4","102",60.7668720603299,70.9367576484944,73.3527522171598,73.336750532041,73.1561041622484
"marketable_yield_today5","103",58.9107644192569,70.5532675496621,72.9899053168181,73.4641668593224,73.1562920847351
"marketable_yield_today6","104",56.7410348788641,68.8281061206599,71.9720198824929,72.4821554514645,72.5887756654781
"marketable_yield_today7","105",56.5761755193594,68.5398549803604,71.6360697812151,72.0732778958564,72.3506728721963
"marketable_yield_today8","106",57.3712352901316,69.2976768303733,71.8676572275104,72.2560624124317,72.3383918027176
"marketable_yield_today9","107",58.3303532859204,69.4902435583088,72.4760704465171,72.6914869755167,72.9700664514022
"marketable_yield_today10","108",59.8082496529916,70.6883883314224,73.5585280364673,73.7383905913909,73.2556276297997
"marketable_yield_today11","109",61.8239135091124,71.3814837234669,73.2034760294357,72.8680639963448,72.4693735005834
"marketable_yield_today12","11",57.7687611637692,68.3828191308986,71.1438233959922,71.4965152187327,71.7704119879348
"marketable_yield_today13","110",61.8857077931065,70.6631513481007,72.1261822693209,72.5323661843895,72.3274579024623
"marketable_yield_today14","111",61.9643203098655,71.0954570364406,73.6787804727171,73.5092677880806,73.343724394212
"marketable_yield_today15","112",61.4109513797782,70.7044996731705,72.5138267322751,72.4273331549843,72.1451877865647
"marketable_yield_today16","113",60.0094151464917,69.8703880153171,72.7387094410493,72.7159433285716,72.8159674056013
"marketable_yield_today17","114",57.9486314179912,69.3857365520837,72.1245983460483,72.5743548986973,72.5515622808145
"marketable_yield_today18","115",56.1514956738474,68.0714771632823,70.7578726147821,71.625954260943,71.7360163486307
"marketable_yield_today19","116",56.1528024378616,67.7421047310355,70.8043317642532,71.5559521856722,71.6010011648679
"marketable_yield_today20","117",54.9912759886224,67.1042371785335,70.5828029474677,71.4151326912475,71.771709989176
"marketable_yield_today21","118",55.0119029267815,66.8408442377406,69.9127599585246,71.236662001068,71.698088820112
"marketable_yield_today22","119",53.6254011666793,66.4327684842213,69.3819102722729,70.7035421213623,70.871130112733
"marketable_yield_today23","12",58.7095917514396,68.6069958225884,71.1268594495895,71.2923152198125,71.4587279222547
"marketable_yield_today24","120",52.5862670528294,65.0037674876867,68.0081708311729,69.3811690293742,70.1573921904274
"marketable_yield_today25","121",50.4981815427877,64.2885139349053,67.9615991631289,69.9826007332338,70.3305015441655
"marketable_yield_today26","122",50.133486399835,63.9316635083,68.1718807315904,70.2351032417136,70.9116879591047
"marketable_yield_today27","123",50.2609530774361,63.3175674919473,67.2277102729556,69.601835393394,70.2564066565755
"marketable_yield_today28","124",51.8584323086976,64.4342157078884,68.0476411264312,69.8101927697744,70.6716560289591
"marketable_yield_today29","125",52.6934431620665,64.8839210137957,67.6918919699894,69.5751386642358,69.6713346866992
"marketable_yield_today30","126",62.1217749287419,72.256446394516,74.47404318004,73.7189171991354,73.4207735833102
"marketable_yield_today31","127",61.420468389922,72.0865589977053,74.628279542871,74.409469135898,74.1682766407809
"marketable_yield_today32","128",63.1334267776934,72.8621008702299,75.1534208202498,74.6524952289614,74.0157054832845
"marketable_yield_today33","129",62.7937972652361,73.4231967215193,75.5133068126832,75.3407142233197,74.9386350703305
"marketable_yield_today34","13",58.8208836214773,68.2330699782452,70.981570254119,71.1606176046996,71.1953732483167
"marketable_yield_today35","130",62.4921934276301,72.7550249245537,74.9615275287594,74.5627715050121,74.5769376115762
"marketable_yield_today36","131",63.239129944546,72.5505759362524,74.6318871480868,74.3516982254501,74.0000386279456
"marketable_yield_today37","132",62.2522884883945,72.237790050159,74.4064430996907,74.3229279842465,73.4592728517731
"marketable_yield_today38","133",61.2314819499168,71.7005265613139,74.3905294706192,73.9740056993508,73.8575731724777
"marketable_yield_today39","134",61.1845276840294,71.4534933859696,73.8540701710897,73.739023111635,73.5532084664628
"marketable_yield_today40","135",60.7811081743817,71.0615759228674,72.9346098082869,72.9171737414314,72.5869481387791
"marketable_yield_today41","136",61.3992917826446,71.7687993655524,73.5121129458318,73.5823895857808,73.4429688757666
"marketable_yield_today42","137",59.9686056887078,70.5055444415161,72.7845632018104,72.9143367977014,72.5233885420822
"marketable_yield_today43","138",58.2030610416067,70.3016768374128,73.0789037410027,73.4077652568301,72.9931098572369
"marketable_yield_today44","139",57.9682707065803,69.3652537646799,72.1396333161421,72.4524797337258,72.4491323600701
"marketable_yield_today45","14",57.0226682439679,68.9820100168583,71.8247830206375,72.5568191340268,72.6628412588837
"marketable_yield_today46","140",57.8870725990018,69.4095174590433,71.6833554451287,72.1868152038669,72.4081610685245
"marketable_yield_today47","141",59.8750984079616,70.2390279647377,72.8700017673183,72.5038477141357,72.9032422542191
"marketable_yield_today48","142",58.2859676778135,69.0918297020065,71.5002508923023,71.5558216317483,71.7297885073517
"marketable_yield_today49","143",59.9878577846488,70.0388062482914,72.0506877785515,71.9288502315558,71.7653103770288
"marketable_yield_today50","144",59.3916192709411,69.5682122389135,72.1720060060568,72.2943105575375,72.3741041489304
"marketable_yield_today51","145",59.8852698711774,69.9296174844629,72.138221232101,72.2403178257604,71.949068985433
"marketable_yield_today52","146",57.8729002842077,68.849082038924,71.5133254554128,71.7850375340819,71.5433732293871
"marketable_yield_today53","147",58.8205982792073,69.2922912087123,71.9599630408771,72.1047440267841,71.9612408100672
"marketable_yield_today54","148",57.536998808718,68.7598813652067,70.8358391717594,71.5381631803585,71.6435682993099
"marketable_yield_today55","149",58.4340695255415,69.6698956309699,72.2770324988418,72.7314153278809,72.6854646339602
"marketable_yield_today56","15",56.4408896533456,68.9667523885797,72.2880527302125,72.7123423016319,73.0981192196942
"marketable_yield_today57","150",56.3394524767114,68.1300770996818,70.9437169199494,71.7890169522902,71.5240842620002
"marketable_yield_today58","151",55.2900965688812,67.2279534742393,70.0223547262257,70.4892007123169,70.6116782849255
"marketable_yield_today59","152",54.7723860838845,65.7733441738533,69.1827128262938,70.3670728750649,70.2055648639798
"marketable_yield_today60","153",53.0958482846395,65.7386333212462,69.4023597972706,70.2945363997397,71.4834797149172
"marketable_yield_today61","154",52.3516730630772,64.8912671022588,68.6601345728569,70.3691473547216,71.2560077010673
"marketable_yield_today62","155",51.6497340538833,63.9613910414572,68.0754884935176,69.8018058450615,71.2380514417561
"marketable_yield_today63","156",49.2514444245532,62.9801258215685,67.0753606303587,69.2876182470463,70.5609837510305
"marketable_yield_today64","157",49.3718137844758,62.7313147812718,66.4858086309765,68.7938141757684,69.4508053562501
"marketable_yield_today65","158",50.4848445044372,63.368883436304,67.0748430251299,69.0512997115148,69.5552980883813
"marketable_yield_today66","159",51.1897417934685,63.229951833523,67.2714992987883,69.0175715476433,69.9222452911433
"marketable_yield_today67","16",56.8056614750805,68.5197255399414,70.9441813436272,71.9894058574349,71.8610256891059
"marketable_yield_today68","160",50.884246395817,63.4526056949759,67.2944361947113,69.6021302323877,70.6512795927559
"marketable_yield_today69","161",47.876736765251,62.1211772184983,66.177093143045,68.9537103012037,69.6634728291187
