"pixel","ssp","gcm","scen_year","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"p533","historic","historic","2000",0.31,0,0,54,0,52,58,67.35,0.3,0,0,0,15.6683579175468,1
"p533","historic","historic","2000",0.38,0.14,0,65,0,65,71,78.65,0.2,0,0,0,16.3392447992619,2
"p533","historic","historic","2000",0.25,0,0,61,0,95,101,109.02,0.1,0,0.1,0,17.5439828300997,3
"p533","historic","historic","2000",0.29,0,0,46,0.15,90,96,107.44,0,0,0,0,17.5520963434789,4
"p533","historic","historic","2000",0.33,0,0,57,0,89,95,98.14,0,0,0,0,17.6532591387366,5
"p533","historic","historic","2000",0.36,0,0,77,0,83,89,95.35,0,0,0.1,0,17.6078581193419,6
"p533","historic","historic","2000",0.26,0.1,0,53,0,77,100,82.66,0,0,0,0,18.604102499046,7
"p533","historic","historic","2000",0.44,0,0,61,0.1,85,96,100.81,0,0,0,0.05,18.8513780579791,8
"p533","historic","historic","2000",0.35,0,0,69,0,73,82,96.6,0,0,0.1,0,17.5355390733154,9
"p533","historic","historic","2000",0.22,0,0,55,0.1,102,108,109.2,0,0,0,0,17.4199982695256,10
"p533","historic","historic","2000",0.32,0,0,51,0,84,90,86.86,0,0,0,0,18.0129231887409,11
"p533","historic","historic","2000",0.32,0,0,72,0.4,122,128,124.54,0,0,0,0,19.170093610961,12
"p533","historic","historic","2000",0.31,0.19,0,50,0,90,126,90.52,0,0,0,0,18.2886739556465,13
"p533","historic","historic","2000",0.43,0,0,63,0.1,85,94,95.21,0.2,0,0,0,16.3033304071862,14
"p533","historic","historic","2000",0.22,0,0,77,0,103,109,107.95,0,0,0,0,17.6642499884123,15
"p533","historic","historic","2000",0.4,0.1,0,70,0,53,62,70.4,0.4,0,0,0.05,16.2796614320543,16
"p533","historic","historic","2000",0.25,0,0,72,0.3,72,78,80.82,0.2,0,0.1,0,16.5499563251015,17
"p533","historic","historic","2000",0.62,0.17,0.2,82,0,94,100,103.59,0,0,0,0,17.928726805905,18
"p533","historic","historic","2000",0.45,0.24,0,75,0,93,99,105.09,0,0,0,0,19.3246307889281,19
"p533","historic","historic","2000",0.26,0,0.25,45,0,86,92,91.46,0,0,0,0,18.9481700638387,20
"p533","historic","historic","2000",0.4,0,0,79,0,88,94,93.49,0,0,0,0,18.6392550872886,21
"p533","historic","historic","2000",0.66,0.11,0,59,0,86,95,98.84,0,0,0,0,17.4390197768797,22
"p533","historic","historic","2000",0.46,0.14,0,65,0,46,85,75.27,0.3,0,0,0,17.0767690944879,23
"p533","historic","historic","2000",0.6,0.11,0,70,0.2,64,83,83.62,0,0,0,0,17.1935427834249,24
"p533","historic","historic","2000",0.45,0.25,0,68,0,81,87,77.7,0.1,0,0,0.05,17.4776475247947,25
"p533","historic","historic","2000",0.45,0,0,59,0,58,64,83.02,0,0,0,0,17.1179414230962,26
"p533","historic","historic","2000",0.55,0,0,47,0.3,68,87,77.83,0,0,0,0,17.5050026409077,27
"p533","historic","historic","2000",0.29,0,0.2,70,0.1,100,110,105.23,0,0,0.1,0,19.0398015704472,28
"p533","historic","historic","2000",0.38,0,0,56,0.1,50,56,69.35,0.3,0,0,0,16.4184001576017,29
"p533","historic","historic","2000",0.46,0.1,0,54,0,47,53,68.13,0,0,0,0,15.9634968890542,30
"p533","historic","historic","2000",0.35,0,0,62,0.1,99,105,111.34,0,0,0,0,16.4072344330196,31
"p533","historic","historic","2000",0.4,0,0,71,0,70,105,77.61,0,0,0,0,18.709508270876,32
"p533","historic","historic","2000",0.22,0.1,0,70,0.1,84,90,87.74,0,0,0.1,0,16.2249406391348,33
"p533","historic","historic","2000",0.3,0,0,45,0.4,55,87,66.06,0,0,0,0.05,17.9829662337458,34
"p533","historic","historic","2000",0.46,0,0,62,0.1,55,102,73.32,0,0,0.1,0,18.1235486033228,35
"p533","historic","historic","2000",0.42,0.11,0,69,0,76,82,89.35,0,0,0,0,16.6860601260277,36
"p533","historic","historic","2000",0.05,0,0,68,0,83,128,96.73,0,0,0,0,19.4889093248166,37
"p533","historic","historic","2000",0.35,0.1,0,64,0,46,52,75.05,0,0,0,0,15.5924623706915,38
"p533","historic","historic","2000",0.3,0.12,0,60,0.1,61,95,84.68,0.2,0,0,0,16.4776369857444,39
"p533","historic","historic","2000",0.23,0,0,61,0.3,49,55,76.15,0.5,0,0,0,15.3551332851329,40
