"pixel","ssp","gcm","year","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"p83","historic","historic","2000",0.21,0,0,48,99.48,4.9801,0.0667,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.15,15.2,7.4148,11.6678,14.5772,1
"p83","historic","historic","2000",0.22,0.45,0,47,104.4,5.1135,0.2167,0,0.1,0,0.07,0,0,0,0,0,0,0,0,0,0.25,15.3794,8.7956,13.3818,17.1895,2
"p83","historic","historic","2000",0.19,0,0,41,107.98,5.145,0.1167,0,0.7,0,0.06,0,0,0,0,0,0,0,0,0,0.25,14.6825,7.1951,15.507,15.4297,3
"p83","historic","historic","2000",0.11,0,0,42,105.85,4.8275,0.2333,0,0.1,0,0.07,0,0,0,0,0,0,0,0,0,0.5,13.3907,8.9138,12.0155,15.1597,4
"p83","historic","historic","2000",0.16,0,0,55,107.19,5.4455,0.15,0,0.4,0,0,0.05,0,0,0,0,0,0,0,0,0.2,15.2979,8.0413,14.5112,14.8418,5
"p83","historic","historic","2000",0.37,0,0,42,113.23,4.8597,0.1,0,0.45,0.05,0.05,0,0,0,0,0,0,0,0,0,0.3,14.2401,7.6108,9.9173,14.2477,6
"p83","historic","historic","2000",0.43,0,0,44,100.69,5.3556,0.1167,0,0.65,0,0.09,0,0,0,0,0,0,0,0,0,0.05,15.3879,7.2632,11.2647,12.9529,7
"p83","historic","historic","2000",0.15,0.3,0,35,105.47,5.1347,0.05,0,0.3,0,0,0,0,0,0,0.15,0,0.05,0,0,0.85,13.7992,7.9305,11.8335,18.7592,8
"p83","historic","historic","2000",0.44,0,0,54,94.65,4.7367,0.1333,0,0.85,0,0.19,0,0,0,0,0,0,0,0,0,0.05,16.0948,6.4276,14.9433,15.2744,9
"p83","historic","historic","2000",0.23,0,0.15,55,102.55,5.1836,0.0667,0,0.9,0,0.08,0,0,0,0,0,0,0,0,0,0.05,15.3025,6.3468,14.3535,15.2262,10
"p83","historic","historic","2000",0.29,0,0,57,96.5,4.9363,0.1333,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.15,16.5393,8.7407,14.6733,15.0458,11
"p83","historic","historic","2000",0.4,0,0,21,103.41,5.1139,0.1833,0,0.55,0,0.11,0,0,0,0,0,0,0,0,0.15,0.55,12.9965,8.0242,12.9225,16.3795,12
"p83","historic","historic","2000",0.35,0.35,0,57,105.07,5.4949,0.3833,0,0.2,0,0.08,0,0,0,0,0,0,0,0,0,0,16.2198,10.1588,15.8893,14.5281,13
"p83","historic","historic","2000",0.24,0,0,43,100.35,5.1685,0.2833,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.25,13.8949,9.5612,14.1557,15.9312,14
"p83","historic","historic","2000",0.18,0,0,48,102.17,5.078,0.1833,0,0.25,0,0.16,0,0,0.1,0,0,0,0,0.05,0,0.45,14.4634,8.2052,15.7145,18.1312,15
"p83","historic","historic","2000",0.15,0,0,38,103.04,4.9282,0.1667,0,0.25,0,0.11,0,0,0,0,0.2,0,0,0,0,0.15,14.0457,7.4163,15.4652,16.8027,16
"p83","historic","historic","2000",0.31,0,0,48,103.55,5.0495,0.1667,0,0.2,0,0.12,0,0,0,0,0.15,0,0,0,0.15,0.65,14.3383,9.5144,15.6015,15.5238,17
"p83","historic","historic","2000",0.35,0,0,43,89.52,4.7522,0.05,0,1,0,0.07,0,0,0,0,0,0,0,0,0,0.1,13.5748,5.1173,11.0728,14.3047,18
"p83","historic","historic","2000",0.32,0,0,37,102.33,4.8934,0.2,0,0.75,0,0.05,0,0,0,0,0,0,0,0,0,0.1,13.9837,6.8221,11.3078,14.9468,19
"p83","historic","historic","2000",0.28,0,0,56,104.7,5.2028,0.0333,0,1,0,0,0,0,0,0,0,0,0,0.05,0,0.3,16.2046,5.9046,13.6232,18.6483,20
"p83","historic","historic","2000",0.28,0.15,0,51,100.17,4.7432,0.0833,0,0.25,0,0.05,0,0,0,0,0,0,0,0,0,0.3,15.6201,7.172,13.501,17.1707,21
"p83","historic","historic","2000",0.32,0,0,35,91.5,4.9621,0.2333,0,0.05,0,0.17,0,0,0,0,0,0,0,0,0,0.25,13.612,9.4308,16.6405,17.5792,22
"p83","historic","historic","2000",0.47,0,0,40,106.57,4.6445,0.1167,0,0.45,0,0.05,0,0,0,0,0,0,0,0,0.45,0,14.617,8.6179,10.7828,12.9411,23
"p83","historic","historic","2000",0.28,0,0,36,101,4.6902,0.05,0,0.5,0,0.12,0,0,0,0,0.25,0,0,0,0,0.6,13.9187,6.6462,14.2912,17.1062,24
"p83","historic","historic","2000",0.43,0.9,0,40,107.69,5.2576,0.1667,0,0.5,0,0.16,0,0,0,0,0,0,0,0,0,0,15.1875,7.4311,11.6553,14.5376,25
"p83","historic","historic","2000",0.33,0,0,47,108.63,4.8061,0.05,0,0.3,0,0.2,0,0,0,0,0.2,0,0,0,0,0.45,16.5515,6.7626,15.2205,15.7667,26
"p83","historic","historic","2000",0.06,0,0,32,91.21,4.9844,0.0833,0,0.75,0,0.16,0,0,0,0,0.1,0,0.05,0,0,0.25,12.8568,6.2407,15.531,17.8821,27
"p83","historic","historic","2000",0.36,0,0,47,108.65,5.0275,0.15,0,0.15,0,0.05,0,0,0,0,0.25,0,0,0,0,0.3,14.4064,8.7799,11.703,15.2841,28
"p83","historic","historic","2000",0.19,0.1,0,35,106,5.0721,0.0667,0,0.55,0,0.08,0,0,0,0,0.2,0,0,0,0.15,0.1,15.1218,7.2288,13.0828,14.1835,29
"p83","historic","historic","2000",0.29,0,0,34,108.8,5.0369,0.0667,0,1,0,0.14,0,0,0,0,0,0,0,0,0,0.2,13.7843,4.4978,13.7848,15.9062,30
"p83","historic","historic","2000",0.29,0,0,44,110.46,5.1333,0.0667,0,0.8,0,0.08,0,0,0,0,0.1,0,0,0,0,0.15,14.4921,5.7095,14.711,13.6682,31
"p83","historic","historic","2000",0.27,0,0,55,98.25,5.1866,0.05,0,0.2,0,0.11,0,0,0,0,0,0,0,0,0,0.25,15.2946,7.1566,9.8403,14.7495,32
"p83","historic","historic","2000",0.23,0,0,40,104.84,5.1968,0.2333,0,0.7,0,0,0,0,0,0,0.15,0,0,0,0,0.25,14.3774,7.9537,16.748,15.9072,33
"p83","historic","historic","2000",0.46,0,0,39,92.84,4.8442,0.1833,0,0.3,0,0.09,0,0,0,0,0,0,0.05,0,0.15,0.25,14.2173,9.6347,14.2062,16.9041,34
"p83","historic","historic","2000",0.45,0,0,48,100.98,5.4611,0.1667,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.05,14.7954,7.8524,10.5718,16.1186,35
"p83","historic","historic","2000",0.16,0.2,0,49,108.58,5.0926,0.0667,0,0.3,0,0.12,0,0,0,0,0,0,0,0,0.3,0,14.8682,7.2221,12.6798,11.6274,36
