"","ssp","drought_stress","insect_risk","disease_risk","photosynhthesis_day","risk_rain","yday_speargrowth","yday_harvest_star","accumulated_chill","frost_risk","diurnal_risk","rainharvest_risk","heatharvest_risk","Tsoil_mean","id"
"historical--historical--2020--2001","historical",0.26,0.1,0,71,0.1,48,54,74.78,1,0.3,0.1,0.35,17.5535869989584,1
"historical--historical--2020--2002","historical",0.35,0.13,0,90,0,50,56,73.48,1,0.2,0,0.05,18.1849471260426,2
"historical--historical--2020--2003","historical",0.16,0.1,0,82,0,74,80,100.54,0.7,0.5,0.2,0.1,19.0659709032546,3
"historical--historical--2020--2004","historical",0.28,0,0,81,0.2,60,66,84.05,1,0.4,0.1,0,18.0900452214163,4
"historical--historical--2020--2005","historical",0.41,0.19,0,88,0.1,58,82,83.17,0.2,0.6,0,0.25,19.5807721874234,5
"historical--historical--2020--2006","historical",0.29,0.25,0,90,0.3,52,62,80.19,0.7,0.8,0.4,0.3,18.6788351123665,6
"historical--historical--2020--2007","historical",0.06,0.1,0,74,0.1,74,80,93.41,0.6,0.1,0,0,19.1376032755107,7
"historical--historical--2020--2008","historical",0.29,0.23,0,74,0.1,51,57,77.27,0.7,0.7,0.1,0.65,19.5421817767942,8
"historical--historical--2020--2009","historical",0.33,0.27,0,86,0.1,62,68,91.1,0.1,0.6,0,0.15,20.1050973227882,9
"historical--historical--2020--2010","historical",0.27,0,0,80,0.3,98,104,113.74,0.2,0,0.1,0,19.4943270075378,10
"historical--historical--2020--2011","historical",0.34,0.12,0,71,0,75,81,87.73,0.2,0.7,0,0.4,20.0967139391005,11
"historical--historical--2020--2012","historical",0.18,0.13,0,94,0.1,62,68,88.12,1,0.8,0,0.1,17.8660970905249,12
"historical--historical--2020--2013","historical",0.48,0.23,0,68,0,62,68,78.18,1,0.5,0,0,16.6044949311222,13
"historical--historical--2020--2014","historical",0.44,0,0,76,0,50,56,77.5,1,0.4,0.1,0.35,16.7863386119293,14
"historical--historical--2020--2015","historical",0.3,0,0,86,0,61,70,82.82,0.9,0.5,0.1,0.05,17.7108784515233,15
"historical--historical--2020--2016","historical",0.42,0.13,0,97,0.1,49,55,71.75,0.9,1,0,0.3,18.5065347462788,16
"historical--historical--2020--2017","historical",0.44,0.11,0,87,0,69,75,85.92,1,0.6,0.1,0.05,19.0413314250205,17
"historical--historical--2020--2018","historical",0.46,0.61,0,99,0,57,63,83.24,0.1,0.3,0.1,0,18.8241775891909,18
"historical--historical--2020--2019","historical",0.4,0.27,0,86,0.2,54,60,81.92,1,0.3,0.1,0,18.4012038871003,19
"historical--historical--2020--2020","historical",0.24,0.21,0,58,0,77,87,94.57,0.1,0.2,0.1,0.1,20.2901346807937,20
"historical--historical--2020--2021","historical",0.35,0.2,0,94,0.2,63,69,78.19,0.5,0,0.1,0.25,19.4563142672904,21
"historical--historical--2020--2022","historical",0.36,0.31,0,90,0,71,77,94.81,0.6,0.4,0.2,0.4,19.0897465207056,22
"historical--historical--2020--2023","historical",0.4,0.26,0,85,0.3,46,52,76.65,1,0.9,0.1,0.05,18.2805464038724,23
"historical--historical--2020--2024","historical",0.4,0.33,0,95,0.1,49,55,79.45,0.5,0.8,0,0,18.4059446483384,24
"historical--historical--2020--2025","historical",0.21,0.22,0,88,0,55,64,72.51,1,0.7,0,0.45,19.9202208757025,25
"historical--historical--2020--2026","historical",0.54,0.13,0,94,0.2,53,59,84.85,0.4,0.3,0.1,0.15,19.7539336417012,26
"historical--historical--2020--2027","historical",0.34,0.26,0,64,0.1,66,72,87.76,0.3,0.7,0.1,0.4,19.5288513063127,27
"historical--historical--2020--2028","historical",0.38,0.26,0.2,85,0,69,75,89.75,0.4,0.7,0,0.2,19.6080889467577,28
"historical--historical--2020--2029","historical",0.21,0.22,0,65,0,49,55,74.72,0.6,0.4,0.1,0.15,18.0870105188495,29
"historical--historical--2020--2030","historical",0.08,0.11,0,85,0.1,48,54,76.41,0.6,0.5,0.4,0.5,18.32067197019,30
"historical--historical--2020--2031","historical",0.29,0.27,0,85,0.2,51,78,79.73,0.6,0.3,0,0,17.8049086682732,31
"historical--historical--2020--2032","historical",0.3,0.2,0,82,0.1,59,65,81.49,0.3,0.2,0.1,0,18.5578881775819,32
"historical--historical--2020--2033","historical",0.4,0.34,0,86,0.1,70,80,87.67,1,0.6,0.1,0,17.6361746310598,33
"historical--historical--2020--2034","historical",0.26,0,0,81,0.1,53,59,73.96,0.5,0.8,0,0.5,19.2109118987213,34
"historical--historical--2020--2035","historical",0.28,0.22,0,89,0.1,54,60,81.01,1,0.4,0,0.25,17.2537023885605,35
"historical--historical--2020--2036","historical",0.3,0.37,0,89,0,64,70,85.53,0.5,0.2,0.3,0.05,18.0015107821951,36
"historical--historical--2020--2037","historical",0.11,0.2,0,87,0.1,79,85,96.41,1,0.5,0.1,0.35,19.4043817639951,37
"historical--historical--2020--2038","historical",0.26,0.1,0,93,0.1,45,51,76.86,0.3,0.2,0,0.15,17.3683879289654,38
"historical--historical--2020--2039","historical",0.29,0.15,0,85,0,56,62,85.18,0.9,0.7,0,0.45,18.2364520548734,39
"historical--historical--2020--2040","historical",0.36,0.29,0,71,0.1,49,55,79.99,1,0.6,0,0.1,17.3110263532739,40
"historical--historical--2020--2041","historical",0.49,0.21,0,103,0,51,57,79.88,1,0.4,0,0.2,18.1851878366891,41
"historical--historical--2020--2042","historical",0.48,0.12,0,94,0.3,59,65,82.26,0.3,0.2,0,0.05,18.6905463776295,42
"historical--historical--2020--2043","historical",0.24,0.3,0,88,0,57,92,87.21,0.1,0.3,0.1,0.15,20.7006903811339,43
"historical--historical--2020--2044","historical",0.31,0.1,0,95,0.15,74,80,90.07,0.4,0.2,0,0.05,18.9375153273795,44
"historical--historical--2020--2045","historical",0.1,0.3,0,103,0,61,78,83.85,0.5,0.5,0,0.05,19.1741911842056,45
"historical--historical--2020--2046","historical",0.31,0.22,0,92,0,57,63,78.78,0.3,0.4,0,0.2,19.5490262942845,46
"historical--historical--2020--2047","historical",0.43,0.34,0,84,0,62,100,88.26,0,0.4,0.1,0.25,21.4114719787023,47
"historical--historical--2020--2048","historical",0.41,0.3,0,77,0.4,59,65,83.76,0.5,0.3,0.1,0.2,18.9401465070034,48
"historical--historical--2020--2049","historical",0.24,0.2,0,71,0.1,62,68,85.66,0.5,0.4,0.1,0.05,19.6940688588761,49
"historical--historical--2020--2050","historical",0.27,0.1,0,66,0,51,95,74.87,0.5,0.1,0.1,0.05,18.6660558776679,50
"historical--historical--2020--2051","historical",0.52,0.17,0,85,0,55,68,79.38,0.2,1,0,0.3,19.288226166256,51
"historical--historical--2020--2052","historical",0.3,0,0.2,69,0.25,50,56,79.49,0.2,0.3,0,0,17.7806351657622,52
"historical--historical--2020--2053","historical",0.38,0.15,0,101,0.1,57,63,82.9,0.6,0.4,0,0.2,18.1098872369189,53
"historical--historical--2020--2054","historical",0.36,0.24,0,77,0,57,63,83.79,0,0,0.1,0.4,18.8146617884169,54
"historical--historical--2020--2055","historical",0.37,0,0,71,0,61,67,79.98,0.3,0.7,0.1,0.1,18.8496420211026,55
"historical--historical--2020--2056","historical",0.43,0,0,99,0,81,87,97.61,0.4,0.5,0.2,0,19.0584737802947,56
"historical--historical--2020--2057","historical",0.27,0,0,88,0,55,64,83.58,0.6,0.9,0.2,0.05,18.578397404711,57
"historical--historical--2020--2058","historical",0.24,0,0,72,0.1,79,85,96.21,0.1,0.7,0,0.05,19.5455615771484,58
"historical--historical--2020--2059","historical",0.37,0.35,0,93,0.2,64,70,87.56,0.3,0.1,0.1,0,19.0451704959735,59
"historical--historical--2020--2060","historical",0.28,0.11,0,88,0,69,81,87.2,0.4,0.6,0,0.05,19.6523564659124,60
"historical--historical--2020--2061","historical",0.24,0.26,0.3,68,0,88,94,99.42,0.5,0.1,0,0.15,19.3894347623514,61
"historical--historical--2020--2062","historical",0.27,0.36,0,70,0,49,55,76.15,1,0.5,0,0,17.5552693924718,62
"historical--historical--2020--2063","historical",0.2,0.1,0,76,0,61,67,82.27,0.1,0.7,0,0.45,19.3923372267449,63
"historical--historical--2020--2064","historical",0.05,0.24,0,81,0.2,51,57,80.32,1,0.7,0.1,0.15,18.7341894011602,64
"historical--historical--2020--2065","historical",0.11,0,0,65,0,52,64,85.89,0.1,0.5,0.1,0,18.449647009688,65
"historical--historical--2020--2066","historical",0.18,0.3,0,89,0,75,81,92.27,0.1,0.9,0.2,0.2,21.084767838732,66
"historical--historical--2020--2067","historical",0.53,0.22,0,79,0,63,69,88.36,0.1,0.2,0.1,0,18.2597300541742,67
"historical--historical--2020--2068","historical",0.25,0.23,0,88,0,74,80,95.48,0.6,0.7,0,0,18.9818943064988,68
"historical--historical--2020--2069","historical",0.39,0.3,0,89,0.1,70,76,90.73,0.2,0.5,0.2,0.35,20.2524492942597,69
"historical--historical--2020--2070","historical",0.25,0.4,0,95,0.4,54,60,80.98,1,0.4,0.3,0.15,17.9744662798096,70
"historical--historical--2020--2071","historical",0.41,0.12,0,87,0.3,50,56,74.81,1,0.2,0,0.05,17.2886368306683,71
"historical--historical--2020--2072","historical",0.39,0.2,0,84,0,59,65,86.19,0.8,0.4,0.2,0,18.5101564220883,72
"historical--historical--2020--2073","historical",0.26,0.2,0,79,0,76,82,87.04,0.2,0.5,0,0.15,20.7889594067904,73
"historical--historical--2020--2074","historical",0.34,0,0,84,0.5,47,53,71.99,1,0.9,0,0,15.5678235811145,74
"historical--historical--2020--2075","historical",0.39,0.1,0,69,0,54,60,82.15,0.8,0.6,0,0.1,18.1338831114073,75
"historical--historical--2020--2076","historical",0.35,0,0,73,0,54,60,78.02,1,0.3,0.2,0.25,17.6150177817049,76
"historical--historical--2020--2077","historical",0.35,0.24,0,87,0,63,69,86.46,0.6,0.5,0,0.5,19.7730704918534,77
"historical--historical--2020--2078","historical",0.31,0.17,0,86,0.3,68,74,92.01,0.2,0.3,0,0,18.8802630238209,78
"historical--historical--2020--2079","historical",0.3,0.12,0,83,0,49,55,76.8,0.2,0.7,0.1,0.35,19.0735570139423,79
"historical--historical--2020--2080","historical",0.34,0,0,82,0,83,89,97.9,0,0.8,0.1,0.25,20.0883598791752,80
"historical--historical--2020--2081","historical",0.43,0.11,0,83,0,72,78,92.91,1,0.8,0.1,0,17.0822502694361,81
"historical--historical--2020--2082","historical",0.27,0.16,0,83,0.15,75,81,95.59,0,0.5,0,0,19.628676171509,82
"historical--historical--2020--2083","historical",0.46,0.13,0,85,0.1,55,73,81.76,0.7,0.8,0.1,0,17.2135967894295,83
"historical--historical--2020--2084","historical",0,0.19,0,80,0.55,89,95,103.28,0.1,0.4,0,0.15,20.2493467348446,84
"historical--historical--2020--2085","historical",0.05,0.12,0,86,0,85,91,100.61,0.4,0.5,0,0.3,20.9753873820469,85
"historical--historical--2020--2086","historical",0.12,0.32,0,74,0.3,81,87,98.35,0.1,0.7,0,0.15,21.4431398861598,86
"historical--historical--2020--2087","historical",0.2,0.24,0,79,0,71,77,90.53,0.8,0.4,0.2,0,18.508089244353,87
"historical--historical--2020--2088","historical",0.18,0.14,0,75,0.5,52,60,79.7,0.9,0.4,0.1,0.2,18.5551281037679,88
"historical--historical--2020--2089","historical",0.29,0.25,0,71,0.1,62,68,87.76,0.8,0.1,0.1,0,16.3882472235614,89
"historical--historical--2020--2090","historical",0.22,0.44,0,98,0,82,88,97.02,0.3,0.2,0.1,0,20.1861227358611,90
"historical--historical--2020--2091","historical",0.42,0.22,0,77,0,73,79,94.83,0.4,0.6,0,0,18.2403183620523,91
"historical--historical--2020--2092","historical",0.24,0,0,100,0,62,68,86.16,0.3,0.2,0.3,0,18.5563985066885,92
"historical--historical--2020--2093","historical",0.37,0.23,0,81,0,60,108,79.68,0.2,0.5,0.1,0.5,21.8490180075046,93
"historical--historical--2020--2094","historical",0.41,0.39,0,89,0.1,63,72,89.17,0.3,0.1,0.1,0,20.2845915298275,94
"historical--historical--2020--2095","historical",0.1,0.54,0,102,0.2,54,60,81.54,1,1,0,0.05,17.2255585848417,95
"historical--historical--2020--2096","historical",0.16,0.2,0,80,0.1,47,64,63.04,0.2,0.3,0,0,17.3473767886922,96
"historical--historical--2020--2097","historical",0.21,0,0,85,0.1,62,68,79.21,0.6,0.1,0.2,0,18.0295264483497,97
"historical--historical--2020--2098","historical",0.23,0.27,0,82,0.2,58,67,85.7,0.6,0.4,0,0.3,18.7498841942079,98
"historical--historical--2020--2099","historical",0.21,0.3,0,80,0.6,74,80,98.05,0.4,0.5,0.1,0.1,19.0014051625889,99
"historical--historical--2020--2100","historical",0.42,0.3,0,73,0,74,80,94.21,0.5,0.3,0.1,0,19.9446792184268,100
"ssp126--ACCESS-CM2--2075--2001","ssp126",0.22,0.13,0,99,0,47,53,70.54,0.6,0.3,0.3,0.35,19.1453781216012,101
"ssp126--ACCESS-CM2--2075--2002","ssp126",0.23,0.14,0,93,0,46,52,74.87,0.4,0.3,0.1,0.1,19.8269082994571,102
"ssp126--ACCESS-CM2--2075--2003","ssp126",0.25,0.51,0,98,0.1,50,60,80.55,0.4,0.4,0.1,0.35,19.673469872302,103
"ssp126--ACCESS-CM2--2075--2004","ssp126",0.44,0.26,0,102,0.1,59,65,76.72,0.5,0.1,0.2,0.15,19.4455355320309,104
"ssp126--ACCESS-CM2--2075--2005","ssp126",0.26,0.4,0,102,0.1,52,58,78.24,0.4,0.3,0,0.25,19.4634619902369,105
"ssp126--ACCESS-CM2--2075--2006","ssp126",0.17,0.35,0,107,0.2,50,56,77.91,0.6,0.6,0.2,0.35,19.8676080960097,106
"ssp126--ACCESS-CM2--2075--2007","ssp126",0.16,0.47,0,96,0.5,47,68,78.2,0.3,0.3,0,0.1,20.2187452119872,107
"ssp126--ACCESS-CM2--2075--2008","ssp126",0.26,0.47,0,91,0.1,49,55,72.94,0.5,0.2,0.3,0.6,20.9848702304348,108
"ssp126--ACCESS-CM2--2075--2009","ssp126",0.32,0.43,0,101,0.1,61,67,90.52,0,0.5,0.2,0.25,21.5927527755542,109
"ssp126--ACCESS-CM2--2075--2010","ssp126",0.33,0.26,0,98,0.1,49,89,81.29,0.3,0.1,0.2,0,19.8859024960176,110
"ssp126--ACCESS-CM2--2075--2011","ssp126",0.19,0.4,0,90,0.1,54,60,72.67,0.4,0.3,0.1,0.5,20.1662506705673,111
"ssp126--ACCESS-CM2--2075--2012","ssp126",0.35,0.53,0,113,0.1,60,66,86.45,0.7,0.3,0.1,0.15,19.3990126712322,112
"ssp126--ACCESS-CM2--2075--2013","ssp126",0,0.21,0,92,0.8,57,63,73.73,1,0.4,0,0,18.1488597866098,113
"ssp126--ACCESS-CM2--2075--2014","ssp126",0.5,0.57,0,92,0,50,56,75.35,0.9,0.4,0,0.45,18.2061910915137,114
"ssp126--ACCESS-CM2--2075--2015","ssp126",0.3,0.43,0,95,0,56,62,76.54,0.4,0.4,0.1,0.2,19.2742125462904,115
"ssp126--ACCESS-CM2--2075--2016","ssp126",0.33,0.61,0,114,0,48,54,70.67,0.3,0.5,0,0.35,19.6184572274018,116
"ssp126--ACCESS-CM2--2075--2017","ssp126",0.35,0.48,0,97,0.3,53,72,77.06,0.4,0.2,0.1,0.1,20.6266711626135,117
"ssp126--ACCESS-CM2--2075--2018","ssp126",0.54,0.75,0,121,0,56,62,80.74,0,0.1,0.2,0.2,20.3604422876548,118
"ssp126--ACCESS-CM2--2075--2019","ssp126",0.09,0.27,0,101,0.2,52,58,77.24,0.7,0.1,0.1,0,19.8406872102605,119
"ssp126--ACCESS-CM2--2075--2020","ssp126",0.35,0.36,0,91,0.2,50,56,78.72,0.6,0.3,0.1,0.25,19.5895681336407,120
"ssp126--ACCESS-CM2--2075--2021","ssp126",0.25,0.45,0,102,0,60,66,73.78,0.3,0.1,0.1,0.5,21.1652693063713,121
"ssp126--ACCESS-CM2--2075--2022","ssp126",0.28,0.27,0,111,0.1,70,76,93.86,0.3,0.2,0,0.55,20.8348105768016,122
"ssp126--ACCESS-CM2--2075--2023","ssp126",0.47,0.48,0,106,0.2,44,50,70.68,0.8,0.5,0.2,0.05,19.5173761346262,123
"ssp126--ACCESS-CM2--2075--2024","ssp126",0.19,0.32,0,110,0.1,46,52,76.76,0.1,0.3,0,0.1,19.8211577983919,124
"ssp126--ACCESS-CM2--2075--2025","ssp126",0.23,0.44,0,105,0,52,58,71.47,0.7,0.5,0.3,0.6,20.9993262554139,125
"ssp126--ACCESS-CM2--2075--2026","ssp126",0.1,0.33,0,116,0,52,58,81.03,0.3,0.3,0.3,0.15,21.279773537823,126
"ssp126--ACCESS-CM2--2075--2027","ssp126",0.41,0.44,0,87,0,65,71,89.38,0.2,0.3,0.1,0.45,20.9657729954457,127
"ssp126--ACCESS-CM2--2075--2028","ssp126",0.34,0.7,0,103,0.2,53,60,77.67,0.5,0.4,0.1,0.3,20.3473714793125,128
"ssp126--ACCESS-CM2--2075--2029","ssp126",0.42,0.51,0,84,0.1,48,54,76.93,0.5,0.2,0.1,0.25,19.57923452494,129
"ssp126--ACCESS-CM2--2075--2030","ssp126",0.33,0.48,0,103,0,47,53,74.89,0,0.4,0.3,0.6,19.9405023985338,130
"ssp126--ACCESS-CM2--2075--2031","ssp126",0.25,0.57,0,103,0.1,51,57,76.84,0.8,0.1,0.1,0,17.9830596932955,131
"ssp126--ACCESS-CM2--2075--2032","ssp126",0.22,0.47,0,98,0.1,59,65,83.35,0,0.1,0.3,0,20.2066596769414,132
"ssp126--ACCESS-CM2--2075--2033","ssp126",0.35,0.7,0,106,0.3,66,72,83.56,0.4,0.2,0.1,0,19.0424770367642,133
"ssp126--ACCESS-CM2--2075--2034","ssp126",0.35,0.21,0,88,0.4,53,59,74.3,0.3,0.6,0.1,0.5,20.9359988103352,134
