"","ssp","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"historical--historical--2020--2001","historical",0.1,0,0,25,104.3,7.46801324503311,0.266666666666667,0,0.95,0,0.05,0,0,0,0,0,0,0.4,0.1,0.3,0.45,10.0525,7.55025,14.0083333333333,18.7239705882353,1
"historical--historical--2020--2002","historical",0.32,0,0,30,99.88,7.42112582781457,0.4,0,0.65,0,0.11,0.05,0,0,0,0.1,0,0.15,0.15,0,0.45,8.81458333333333,8.30616666666667,15.256,17.9169696969697,2
"historical--historical--2020--2003","historical",0.05,0,0,21,111.48,7.26960264900662,0.366666666666667,0,1,0.1,0.07,0.05,0,0,0,0,0,0.25,0.1,0.3,0.15,9.24904166666667,7.60741666666667,14.7706666666667,19.215,3
"historical--historical--2020--2004","historical",0.12,0,0,24,104.23,8.02132450331126,0.416666666666667,0,1,0,0.07,0.05,0,0,0,0,0,0,0,0.15,0.2,10.3673333333333,8.16041666666667,13.6275,16.4962121212121,4
"historical--historical--2020--2005","historical",0.31,0,0,28,104.24,7.53754966887417,0.333333333333333,0,0.75,0.2,0.17,0,0,0,0,0,0,0.25,0.05,0,0.6,10.4539583333333,8.06625,13.0476666666667,17.9677941176471,5
"historical--historical--2020--2006","historical",0.18,0,0,36,102.69,8.24059602649007,0.416666666666667,0,0.7,0.15,0.05,0,0,0.15,0,0,0,0.4,0.05,0.45,0.35,10.3579166666667,9.03091666666667,13.2123333333333,20.4130303030303,6
"historical--historical--2020--2007","historical",0.12,0,0,19,102.04,6.96529801324503,0.283333333333333,0,0.8,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0.25,8.35708333333333,8.4255,15.399,17.7521212121212,7
"historical--historical--2020--2008","historical",0.14,0.25,0,24,104.4,7.93026490066225,0.4,0,0.75,0,0,0,0,0,0,0,0,0.6,0.05,0.15,0.35,10.2894166666667,9.0725,16.4445,19.0366666666667,8
"historical--historical--2020--2009","historical",0.13,0,0.1,31,108.1,7.04350993377483,0.433333333333333,0,0.35,0.2,0.09,0,0,0.1,0,0.1,0,0.6,0.05,0,0.2,10.5770416666667,10.2450833333333,15.0366666666667,20.1922058823529,9
"historical--historical--2020--2010","historical",0.27,0,0,34,109.06,6.71192052980132,0.166666666666667,0,1,0.1,0.06,0,0,0,0,0,0,0.05,0,0.15,0.35,10.582625,6.63458333333333,12.6823333333333,15.1290909090909,10
"historical--historical--2020--2011","historical",0.18,0,0,12,95.22,7.23417218543046,0.4,0,0.75,0.2,0.16,0.05,0,0,0,0,0,0.35,0.05,0,0.6,9.38004166666667,9.70316666666667,11.6928333333333,19.45,11
"historical--historical--2020--2012","historical",0,0,0,33,106.75,7.6976821192053,0.366666666666667,0,0.9,0,0.25,0,0,0,0,0,0,0.35,0.1,0,0.2,10.2295,7.41475,13.6723333333333,19.5118181818182,12
"historical--historical--2020--2013","historical",0.27,0,0,18,97.25,7.5535761589404,0.366666666666667,0,1,0.05,0.17,0.05,0,0,0,0,0,0.2,0.15,0,0.1,9.21341666666667,6.88808333333333,12.3866666666667,16.6648529411765,13
"historical--historical--2020--2014","historical",0.2,0.25,0,20,105.79,7.63403973509934,0.283333333333333,0,1,0.1,0.11,0,0,0,0,0,0,0.35,0.15,0.15,0.5,10.0344166666667,6.893,11.7281666666667,17.9404545454545,14
"historical--historical--2020--2015","historical",0.43,0.15,0,23,103.66,7.36417218543046,0.25,0,1,0.05,0,0.05,0,0,0,0,0,0.05,0.25,0.15,0.45,9.68391666666667,7.6495,13.6548333333333,17.4990909090909,15
"historical--historical--2020--2016","historical",0.26,0,0,49,100.35,7.82258278145695,0.35,0,0.7,0,0.14,0,0,0,0,0,0,0.3,0,0,0.25,10.69325,8.23458333333333,14.1831666666667,18.3622727272727,16
